Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60, 
OTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000506916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU15,0.194272076,0.106099436,0.045047733,0.039878234,0.021420602,0.164570028,0.096981891,0.002051282,0.217652743,0.052113492,0.138146341,0.085781149,0.048761808,0.136063936,0.180042804,0.20479857,0.188857143,0,0.045098942,0.057467424,0.026785714,0.034853921,0.00302399,0.042588313,0.067374968,0.204011214,0.032741088,0.104059278,0.00071582,0.023910528,0.017863328,0.000983768,0.014492754,0.051304099,0.009804471,0.048704073,0.092439015,0.099097565,0.042386929,0.11385588,0.028151392,0.081197855,0.087406764,0.091215248,0.027551353,0.011151417,0.089319471,0.118325792,0.05362776,0.037098104,0.029962547,0.141663184,0,0.0296,0.028882731,0.000618047,0.043348281,0.074462507,0.011100833,0.000827301,
OTU16,0,0,0,0,0,0.003999742,0,0,0,0.000579039,0,0,0,0.000624376,0,0.001443696,0,0,0,0,0,0,0,0,0,0.00129394,0.00020114,0,0,0,0,0,0,0,0,0,0,0.017027073,0,0.001580519,0.001563966,0.005810489,0.002896662,0.004764976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001420791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU18,0.125059666,0.184520759,0.006115752,0.081582953,0.024618817,0.148377524,0.065995976,0,0.004080318,0.000651419,0.005170732,0.001533247,0.001633903,0.01033966,0.007490637,0.019868005,0.131321429,0,0.00138058,0.002338791,0,0.02409021,0.000167999,0.009574117,0.03809277,0.018654302,0.011152084,0.075064433,0.001073729,0.001156961,0.000989658,0,0,0.006592147,0.003361533,0.003631444,0.00635139,0.04903797,0.055647644,0.044898437,0.073193619,0.00238379,0.012672894,0.011536257,0.000815129,0.006180304,0.013232514,0.009276018,0.004731861,0.003297609,0.00062422,0.025908901,0.00137741,0,0,0,0.008669656,0.020188778,0.011100833,0,
OTU19,0.038902148,0.040748334,0.0025358,0.010958904,0.005652659,0.04657764,0.01824279,0,0.010200795,0,0.00595122,0.001936733,0.002246617,0.011288711,0.043606207,0.012993263,0.054714286,0,0.006902899,0.002672903,0.00487013,0.001537673,0.000369599,0.019478376,0.072039388,0.012400259,0.008492569,0.173969072,0,0.003085229,0.000742244,0.000491884,0,0.015047291,0.001848843,0.009683851,0.006675027,0.026391963,0.036230168,0.014107592,0.025492649,0.012812872,0.002606995,0.047004872,0.000978155,0.004836759,0.017958412,0.010180995,0.002891693,0.002061006,0.003745318,0.017133305,0.004820937,0.0024,0.003193538,0.000494438,0.018834081,0.022548506,0.027289547,0,
OTU20,0,0.000512558,0,0,0.000223131,0.000451584,0,0,0,0,0,0,0,0,0,0.000962464,0.000285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445346,0,0,0,0,0.001210481,0.000202274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000609057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU22,0.002386635,0.001793952,0.042511933,0.010350076,0.004462626,0.004064254,0.003755869,0.002051282,0.001718029,0.017226404,0.032097561,0.032036798,0.001072249,0.006493506,0,0.001993675,0.005214286,0.012358393,0.00414174,0.004343468,0.034090909,0.002562788,0.001982394,0.128425223,0.00233221,0.00129394,0.004022796,0.015786082,0.002863278,0,0.040971844,0.635514019,0,0.003725996,0.014454591,0.000356024,0.01820462,0.000681083,0.001420791,0.003512264,0.00093838,0.003426698,0.000941415,0.002221267,0.006194979,0.010882709,0.005671078,0.002262443,0.004206099,0.002473207,0.044007491,0.015043878,0,0.00112,0.018128023,0.00815822,0.006576981,0.003932879,0.007400555,0.002275078,
OTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000560255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
